Komisija,Padalinio pavadinimas,"Kategorija, kodas, taisyklių punktas",Pirkimo grupė,Pirkimo Nr.,Rašto  vizavimo data ,Vokų atplėšimo  data,"Sutarties, data ir Nr. arba PVM sąskaitos faktūros data ir Nr.",Laimėtojas,Laimėtojo nustatymo priežastis,Pirkimo suma 1 metams / įkainis   Lt,Pirkimo suma su sutarties pratęsimu Lt / galutinė suma 1 metams Lt,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai,ŽAL,CPO,91 str.,Pastabos
DK,Turizmo skyrius,BVPŽ kodas 45233293-9,Darbai,69,2014-03-31,5/6/2014,2014-08-25 sutartis Nr. A62-95/14(3.10.21-AD4),"UAB ""Biseris""",Mažiausia kaina,-,"141,934.71   ",Informacinių ženklų (kryptinių nuorodų) į Vilniaus miesto lankytinus objektus įrengimas,"UAB ""Maniga""; UAB ""Zona Optima""; UAB ""Švytėjimas""; UAB ""Biseris""",,,,
MK,Viešųjų ryšių skyrius,BVPŽ kodas 78100000-8,Paslaugos,70,2014-03-31,3/31/2014,2014-04-08 sutartis Nr. A64-51/14(3.10.22-SM),"UAB ""Diena Media News""",Taisyklių 74.2 punktas,-,"8,470.00   ",Spausdinimo paslaugos,"UAB ""Diena Media News""",,,,
MK,Miesto ūkio ir transporto departamentas Miesto transporto skyrius,BVPŽ kodas 45262640-9,Darbai,71,2014-04-01,6/12/2014,2014-07-03 sutartis Nr. A62-71/14(3.10.21-AD4),"UAB ""Tiltuva""",Mažiausia kaina,-,"63,626.64   ","Keleivinio transporto stotelėse suolų įrengimo, išmontavimo ir suolų medinės dalies pakeitimo darbai","UAB ""Tiltuva"" ir UAB ""Tvorų tiekimas""",,,,
MK,Miesto ūkio ir transporto departamentas Miesto transporto skyrius,BVPŽ kodas 45213300-6,Darbai,72,2014-04-01,6/12/2014,2014-07-03 sutartis Nr. A62-72/14(3.10.21-AD4),"UAB ""Tiltuva""",Mažiausia kaina,-,"93,595.92   ",Transporto laukimo paviljonų (antivandalinių) galinėse transporto laukimo stotelėse įrengimo ir remonto darbai,"UAB ""Tiltuva"" ir UAB ""Zona optima""",,,,
MK,Vilkpedės seniūnija,BVPŽ kodas 45421000-4,Darbai,73,2014-04-01,4/10/2014,2014-04-28 sutartis Nr. A62-22/14(3.10.21-FN4),"UAB ""LS ir Co statyba""",Mažiausia kaina,-,"2,798.48   ",Stalių darbai,"UAB ""Alkuva""; UAB ""Medlain""; UAB ""LS ir Co statyba""",,,,
MK,Vilkpedės seniūnija,BVPŽ kodas 79952000-2,Paslaugos,74,2014-04-01,7/7/2014,2014-09-11 sutartis Nr. A64-134/14(3.10.22-AD4),"VšĮ ""Vilkpėdės bendruomenės Socialinių paslaugų centras""",Mažiausia kaina,-,"9,952.00   ","""Baltosios lazdelės"" renginio organizavimas","VšĮ ""Vilniaus ir Alytaus regioninių aklųjų centras""; VšĮ Viklpėdės bendruomenės Socialinių paslaugų centras; Lietuvos aklųjų biblioteka",,,,
MK,Civilinės metrikacijos skyrius,BVPŽ kodas 45453000-7,Darbai,75,2014-04-01,4/17/2014,2014-05-08 sutartis Nr. A62-30/14(3.10.21-AD4),"UAB ""Eurostructus""",Mažiausia kaina,-,"119,862.60   ",Civilinės metrikacijos pastato pagrindinių laiptų remonto ir atnaujinimo darbai,"UAB ""Euroconstructus""",,,,
MK,Turizmo skyrius,BVPŽ kodas 79341000-6,Paslaugos,76,2014-04-01,5/21/2014,2014-06-25 sutartis Nr. A64-85/14(3.10.22-AD4),"UAB ""Lexita WEB""",Mažiausia kaina,-,"25,100.00   ",Naujų turizmo maršrutų nepriklausomos programos išmaniesiems telefonams sukūrimo programos,"UAB ""Dizaino kryptis"" UAB ""Lexita Web""",,,,
MK,Aprūpinimo ir transporto skyrius,BVPŽ kodas 45421141-4,Darbai,77,2014-04-01,5/19/2014,2014-06-09 sutartis Nr. A62-43/14(3.1.21-AD4),"UAB ""Stiklita Vilnius""",Mažiausia kaina,-,"28,628.60   ",Modulinių pertvarų montavimas,"UAB ""Stiklita Vilnius""",,,,
MK,E. miesto departamentas,BVPŽ kodas 30200000-1,Prekės ,78,2014-04-01,-,-,-,-,-,-,SSL sertifikatų pirkimas,Neįvyko,,,,
MK,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,79,2014-04-01,4/1/2014,2014-04-04 PVM Sąskaita-faktūra Nr. MKC-001224,VšĮ Lietuvos savivaldybių asociacijos Mokymo ir konsultavimo centras,Taisyklių 74.9 punktas,-,380.00   ,Metinė savivaldybių vyriausiųjų architektų konferencija,VšĮ Lietuvos savivaldybių asociacijos Mokymo ir konsultavimo centras,,,,
MK,Rasų seniūnija,BVPŽ kodas 45420000-7,Darbai,80,2014-04-02,4/29/2014,2014-05-08 sutartis Nr. A62-31/14(3.10.21-AD4),"UAB ""Senamiesčio ūkis""",Mažiausia kaina,-,"1,298.62   ",Rinkimų apylinkių paruošimas,"UAB ""Senamiesčio ūkis""; UAB ""Rasų valda""; UAB ""Statvilsta""",,,,
MK,Civilinės saugos skyrius,BVPŽ kodas 44176000-4,Prekės,81,2014-04-02,4/18/2014,2014-05-21 PVM sąskaita-faktūra Nr. APR027766,"UAB ""Apertura""",Mažiausia kaina,-,987.84   ,Apsaugos plėvelė,"UAB ""Apertura""; UAB ""Domus Lumina"" (nepateikė pasiūlymo); UAB ""Addspauda"" (Nepateikė pasiūlymo)",,,,
MK,Civilinės saugos skyrius,BVPŽ kodas 22114300-5,Prekės,82,2014-04-02,7/15/2014,Pasiūlymų negauta,Pasiūlymų negauta,-,-,0.00   ,Žemėlapiai,Pasiūlymų negauta,,,,
MK,Panerių seniūnija,BVPŽ kodas 45420000-7,Darbai,83,2014-04-02,4/8/2014,2014-04-30 sutartis Nr. A62-27/(3.10.21-FN4),"UAB ""Stebulė""",Mažiausia kaina,-,"1,294.70   ",Rinkimų apylinkių įrengimo darbai (LR Prezidento ir Europos Parlamento rinkimams) montavimo darbai,"UAB ""Stebulė""; UAB ""Metalo sprendimai""; UAB ""Trajana""",,,,
MK,Panerių seniūnija,BVPŽ kodas 44510000-8,Prekės,84,2014-04-02,7/4/2014,2014-08-13 sutartis Nr. A68-23/14(3.10.23-AD4),"UAB ""Senukų prekybos centras""",Mažiausia kaina,-,"24,000.00   ","Įrankiai, higienos ir apsauginės priemonės viešųjų darbų programai vykdyti","UAB ""Senukų prekybos centras""; UAB ""Sentios""",,,,
MK,Panerių seniūnija,BVPŽ kodas 15800000-6,Prekės,85,2014-04-02,10/20/2014,2014-10-24 PVM sąskaita - faktūra Nr. TDK299,"UAB ""Tatjanos dvaras""",Mažiausia kaina,-,993.85   ,Vaišės kultūrinių renginių svečiams,"UAB ""Tatjanos dvaras""; UAB ""Valčiūnai""; UAB ""Sadovskaja ir Ko""",,,,
MK,"Švietimo, kultūros ir sporto departamentas",BVPŽ kodas 73210000-7,Paslaugos,86,2014-04-03,4/3/2014,2014-09-04 PVM sąskaiata-faktūra Nr. BA40904,"VšĮ ""BeepArt""",Mažiausia kaina,-,"8,000.00   ",Eksperto-konsultanto renginiui ES lėšoms finansuojamo ZEN projekto užsienio partnerių susitikimui ir seminarui,"Projektų vadovė Ieva Kuizinienė; UAB ""Baltijos auditas""; UAB ""PakMark""",,,,
MK,"Švietimo, kultūros ir sporto departamentas",BVPŽ kodas 71319000-7,Paslaugos,87,2014-04-03,4/4/2014,2014-09-05 PVM sąskaiata-faktūra Nr. KU40905,"UAB ""Kulbė""",Mažiausia kaina,-,"7,500.00   ","ZEN projekto, finansuojamo ES lėšomis, eksperto paslaugos","UAB ""Kulbė""; VšĮ ""BeepArt""; VšĮ Ateities visuomenės institutas",,,,
MK,Žvėryno seniūnija,BVPŽ kodas 45420000-7,Darbai,88,2014-04-04,4/16/2014,2014-04-28 sutartis Nr. A62-20/14(3.10.21-FN4),"UAB ""Rudmė""",Mažiausia kaina,-,"2,076.36   ","Rinkimų apylinkių paruošimas: inventoriaus remonto, sumontavimo, demontavimo darbai","UAB ""Rudmė""; UAB ""Grinda""; UAB "" Tavo aplinkos vizija""",,,,
MK,Naujamiesčio seniūnija,BVPŽ kodas 79952000-2,Paslaugos,89,2014-04-04,4/14/2014,2014-04-24 sutartis Nr. A64-58/14(3.10.22-FN4),Lietuvos pagyvenusių žmonių asociacija,Mažiausia kaina,-,"4,970.00   ",Naujamiesčio seniūnijos bendruomenės kultūrinio renginio organizavimas,Lietuvos našlaičių brolija; Vilniaus miesto Vyresniojo amžiaus žmonių asociacija; Lietuvos pagyvenusių žmonių asociacija,,,,
MK,Naujamiesčio seniūnija,BVPŽ kodas 92300000-4,Paslaugos,90,2014-04-04,4/9/2014,2014-04-22 sutartis Nr. A64-57/14(3.10.22-FN4),Lietuvos pagyvenusių žmonių asociacija,Mažiausia kaina,-,"4,980.00   ",Tradicinės šventės organizavimas,Vilniaus miesto Vyresniojo amžiaus žmonių asociacija; Lietuvos pagyvenusių žmonių asociacija; Krašto apsaugos sistemos kūrėjų asociacija,,,,
MK,Naujamiesčio seniūnija,BVPŽ kodas 45420000-7,Darbai,91,2014-04-04,4/17/2014,2014-04-28 sutartis Nr. A62-21/14(3.10.21-FN4),"UAB ""Rudmė""",Mažiausia kaina,-,"3,717.12   ","Rinkimų apylinkių įrengimas Naujamiesčio seniūnijoje: inventoriaus remonto, sumontavimo, demontavimo darbai","UAB ""Rudmė""; UAB ""Grinda""; UAB "" Tavo aplinkos vizija""",,,,
MK,Šnipiškių seniūnija,BVPŽ kodas 45420000-7,Darbai,92,2014-04-04,4/16/2014,2014-04-23 sutartis Nr. A62-16/14(3.10.21-FN4),"UAB ""EuroRG""",Mažiausia kaina,-,"1,869.35   ",Keturių rinkimų apylinkių įrengimas Šnipiškių seniūnijoje,"UAB ""EuroRG""; UAB ""Lydera"" UAB ""Stebulė""",,,,
MK,Senamiesčio seniūnija,BVPŽ kodas 45420000-7,Darbai,93,2014-04-04,4/7/2014,2014-04-29 sutartis Nr. A62-24/14(3.10.21-FN4),"UAB ""Rudmė""",Mažiausia kaina,-,"2,870.07   ",Rinkimų apylinkių įrengimas,"UAB ""Senamiesčio ūkis""; UAB ""Naujininkų ūkis""; UAB ""Rudmė""",,,,
MK,Šeškinės seniūnija,BVPŽ kodas 92300000-4,Paslaugos,94,2014-04-04,5/15/2014,2014-06-02 sutartis Nr. A64-72/14(3.10.22-AD4),Alvydas Pralgauskas,Mažiausia kaina,-,"9,990.00   ",Šeškinės bendruomenės Rasos šventės ir Pagyvenusių žmonių dienos renginių organizavimas,"VšĮ ""Tvarios raidos inovacijų pilietinis forumas""; Alvydas Pralgauskas; Gediminas Stakutis",,,,
MK,Šeškinės seniūnija,BVPŽ kodas 45236290-9,Darbai,95,2014-04-04,8/19/2014,2014-09-08 sutartis Nr. A62-97/14(3.10.21-AD4),"UAB ""Aiža""",Mažiausia kaina,-,"13,962.00   ","Medinių, metalinių vaikų žaidimų bei sporto aikštelių ir suoliukų remonto darbai","UAB ""Aiža""; UAB ""Julsata""; UAB ""Rekreacinė statyba""",,,,
MK,Naujininkų seniūnija,BVPŽ kodas 45216114-6,Darbai,96,2014-04-04,4/10/2014,2014-04-23 sutartis Nr. A62-15/14(3.10.21-FN4),"UAB ""Naujininkų ūkis""",Mažiausia kaina,-,"5,445.00   ",Parlamento ir viešųjų susirinkimų pastatai,"UAB ""Verkių būstas""; UAB ""Naujininkų ūkis""; UAB ""Naujamiesčio būstas""",,,,
MK,Mokesčių skyrius,BVPŽ kodas 72243000-0,Paslaugos,97,2014-04-07,4/25/2014,2014-05-28 sutartis Nr. A62-39/14(3.10.23-AD4),"UAB ""Algoritmų sistemos""",Taisyklių 74.4 punktas,-,"9,600.00   ",MASIS praplėtimas apskaitos funkcija duomenų įvedimui pagal Teismo nutartis,"UAB ""Algoritmų sistemos""",,,,
MK,Pilaitės seniūnija,BVPŽ kodas 79952000-2,Paslaugos,98,2014-04-07,5/26/2014,2014-06-20 sutartis Nr. A64-83/14(3.10.22-AD4),"UAB ""Kestleta""",Mažiausia kaina,-,"9,950.00   ",Pilaitės bendruomenės Joninių šventė,"VšĮ Vilkpedės bendruomenės socialinių paslaugų centras; UAB ""Kestleta""; UAB ""Gratia""",,,,
MK,Pilaitės seniūnija,BVPŽ kodas 45236290-9,Darbai,99,2014-04-07,5/22/2014,2014-05-29 sutartis Nr. A62-40/14,"UAB ""LS ir CO statyba""",Mažiausia kaina,-,"17,000.00   ","Senų suoliukų remontas, perdažymas","UAB ""Vasa""; MB ""Alkuva""; UAB ""LS ir CO statyba""",,,,
MK,Pilaitės seniūnija,BVPŽ kodas 45236119-7,Darbai,100,2014-04-07,5/15/2014,2014-05-30 sutartis Nr. A62-42/14(3.10.21-AD4),"UAB ""Aiža""",Mažiausia kaina,266.15,"6,300.00   ",Metalinių kiemo atitvarų remonto darbai,"UAB ""Julsata""; UAB ""Aiža""; UAB ""Rekreacinė statyba"";",,,,
MK,Pilaitės seniūnija,BVPŽ kodas 45420000-7,Darbai,101,2014-04-07,4/14/2014,2014-04-29 sutartis Nr. A62-23/14(3.10.21-FN4),"UAB ""Kestleta""",Mažiausia kaina,-,"2,200.00   ",Stalių ir dailidžių montavimo darbai,"UAB ""Kestleta""; UAB ""Naujoji Pilaitė"" UAB ""ADMI""",,,,
MK,Grigiškių seniūnija,BVPŽ kodas 92300000-4,Paslaugos,102,2014-04-07,4/10/2014,2014-04-18 sutartis Nr. A64-56/14(3.10.22-FN4),"UAB ""Lentvario komunalinis ūkis""",Mažiausia kaina,-,"7,000.00   ",Miesto šventės Grigiškėsė organizavimas,"UAB ""Elektrėnų švara""; UAB ""Sanginas""; UAB ""Lentvario komunalinis ūkis""",,,,
MK,Panerių seniūnija,BVPŽ kodas 79952000-2,Paslaugos,103,2014-04-07,6/5/2014,2014-06-19 sutartis Nr. A64-82/14(3.10.22-AD4),"UAB ""Scenos servisas""",Mažiausia kaina,-,"1,960.20   ",Panerių seniūnijos bendruomenės kultūrinio renginio techninis aprūpinimo ir įgarsinimo paslaugos,"UAB ""Scenos servisas""; UAB Scenos techninis servisas""; UAB ""LVG technologijos""",,,,
MK,Panerių seniūnija,BVPŽ kodas 92300000-4,Paslaugos,104,2014-04-07,11/28/2014,2014-12-08 sutartis Nr. A64-206/14(3.10.22-AD4),"UAB ""Stebulė""",Mažiausia kaina,-,"6,993.80   ",Panerių seniūnijos Kalėdinės šventės organizavimo paslaugos,"UAB ""Stebulė""; UAM ""Jumesa""; UAB ""Trajana""",,,,
MK,"Švietimo, kultūros ir sporto departamentas",BVPŽ kodas 03121210-0,Prekės,105,2014-04-07,5/5/2014,"SHIEU2079; SHIEU2547,90;SHIEU2328,40","UAB ""Interjeras ir gėlės""",Mažiausia kaina,-,"9,900.00   ",Gėlių kompozicijos ir puokštės,"UAB ""Interjeras ir gėlės"" UAB ""Floristas""",,,,
MK,Aprūpinimo ir transporto skyrius,BVPŽ kodas 90711100-5,Paslaugos,106,2014-04-08,5/15/2014,2014-09-29 sutartis Nr. A64-146/14(3.10.22-AD4),"UAB ""SDG""",Mažiausia kaina,-,"13,676.63   ",Rizikos veiksnių vertinimas ir nustatymas,"UAB ""SDG""; UAB ""Verslo aljansas""; UAB ""Inspecta""",,,,
MK,Socialinių išmokų skyrius,BVPŽ kodas 317700000-3,Prekės,107,2014-04-08,6/5/2014,2014-07-22 sutartis Nr. A68-20/14(3.10.23-AD4),"UAB ""CSC Telecom""",Mažiausia kaina,-,"8,712.00   ",Kontaktų centro įrangos pirkimas,"UAB ""CSC Telecom""; UAB ""Bitė Lietuva""; UAB ""Benco Baltic Engineering Company""",,,,
MK,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,108,2014-04-08,4/8/2014,2014-04-09 PVM sąskaita-faktūra Nr. KPB 001239,"Vilniaus prekybos, pramonės ir amatų rūmai",Taisyklių 74.9 punktas,-,340.00   ,"Darbo užmokesčio apskaita ir pakeitimai viešajame sektoriuje, reminatis viešojo sektoriaus apskaitos ir finansinės apskaitos standartais (VSAFAS)","Vilniaus prekybos, pramonės ir amatų rūmai",,,,
MK,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,109,2014-04-09,4/9/2014,2014-04-16 PVM sąskaita-faktūra Nr. MCD009236,"VšĮ Valstybės ir savivaldybių tarnautojų mokymo centras ""Dainava""",Taisyklių 74.9 punktas,-,"1,580.00   ",Seminaras savivaldybių vaiko teisių apsaugos skyrių specialistams,"VšĮ Valstybės ir savivaldybių tarnautojų mokymo centras ""Dainava""",,,,
MK,Žirmūnų seniūnija,BVPŽ kodas 45420000-7,Darbai,110,2014-04-09,4/10/2014,2014-04-30 sutartis Nr. A62-25/14(3.10.21-FN4),"UAB ""Rudmė""",Mažiausia kaina,-,"7,269.92   ",Rinkimų apylinkių įrengimas,"UAB ""Tavo aplinkos vizija""; UAB ""Deminta""; UAB ""Rudmė""",,,,
DK,Miesto ūkio ir transporto departamentas,BVPŽ kodas 45236290-9,Darbai,111,2014-04-11,6/17/2014,2014-07-15 sutartis Nr. A62-75/14(3.10.21-AD4),"Ūkio subjektų grupė: UAB ""Ekonnomus"" ir UAB ""Mano būstas""",Mažiausia kaina,-,"102,837.90   ",Treniruoklių remontas,"Ūkio subjektų grupė: UAB ""Ekonnomus"" ir UAB ""Mano būstas""",,,,
MK,Užsienio ryšių skyrius,BVPŽ kodas 39298400-1,Prekės,112,2014-04-15,5/5/2014,2014-05-20 sutartis Nr. A68-15/14(3.10.23-AD4),Skulptorius Vaidas Ramoška,Taisyklių 74.8 punktas,-,"9,880.00   ",Statulėlės,Skulptorius Vaidas Ramoška,,,,
MK,Užsienio ryšių skyrius,BVPŽ kodas 18530000-3,Prekės,113,2014-04-15,5/29/2014,2014-06-03 PVM sąskaita-faktūra Nr. RA210,Rūta Ambrasūnienė,Taisyklių 74.8 punktas,-,"8,160.00   ",Dovanos ir apdovanojimai,Rūta Ambrasiūnienė,,,,
MK,"Švietimo, kultūros ir sporto departamentas",BVPŽ kodas 60115100-8,Paslaugos,114,2014-04-15,4/25/2014,2014-05-09 sutartis Nr. A72-831/14 (3.1.36-KS),"VšĮ ""Vilnius veža""",Mažiausia kaina,"1,91 (1 km)","5,730.00   ",Taksi paslaugos,"UAB ""Standart taksi""; UAB ""Romerta plius"" (nepateikė pasiūlymo); VšĮ ""Vilnius veža""",,,,
MK,Aprūpinimo ir transporto skyrius,BVPŽ kodas 30200000-1,Prekės,115,2014-04-16,4/30/2014,2014-05-13 PVM sąskaita-faktūra Nr. ELT201400309,"UAB ""Eltalis""",Mažiausia kaina,-,"4,283.40   ",Kompiuterinė įranga su pastato valdymo sistemos programos konfigūracija,"UAB ""Eltalis""; UAB ""Faktora""; IĮ ""Laptopas""",,,,
MK,Viršuliškių seniūnija,BVPŽ kodas 45420000-7,Darbai,116,2014-04-16,4/25/2014,2014-05-06 sutartis Nr. A62-29/14(3.10.21-AD4),"UAB ""Rudmė""",Mažiausia kaina,-,"2,159.85   ",Rinkimų apylinkių parengimas,"UAB ""Jurita"" (atsisakė pateikti pasiūlymą); UAB ""Tavo aplinkos vizija""; UAB ""Rudmė""",,,,
MK,Justiniškių seniūnija,BVPŽ kodas 45420000-7,Darbai,117,2014-04-16,4/25/2014,2014-05-06 sutartis Nr. A62-28/14(3.10.21-AD4),"UAB ""Rudmė""",Mažiausia kaina,-,"2,678.94   ",Rinkimų apylinkių parengimas LR Prezidento ir Europos Parlamento rinkimams,"UAB ""Jurita"" (atsisakė pateikti pasiūlymą); UAB ""Tavo aplinkos vizija""; UAB ""Rudmė""",,,,
MK,Žvėryno seniūnija,BVPŽ kodas 79952000-2,Paslaugos,118,2014-04-22,5/8/2014,2014-06-12 sutartis Nr. A62-47/14(3.10.21-AD4),Žvėryno bendruomenės daugiafunkcinis centro asociacija,Mažiausia kaina,-,"2,920.00   ",Tradicinės šventės organizavimas,"Žvėryno bendruomenės daugiafunkcinis centro asociacija; Vilniaus suaugusiųjų mokymo centras; Vilniaus Žvėryno gimnazija""",,,,Kalėdos Žvėryne
MK,Žvėryno seniūnija,BVPŽ kodas 79952000-2,Paslaugos,119,2014-04-22,5/8/2014,2014-06-12 sutartis Nr.A62-46/14(3.10.21-AD4),Žvėryno bendruomenės daugiafunkcinis centro asociacija,Mažiausia kaina,-,"3,930.00   ",Žvėryno seniūnijos bendruomenės kultūrinio renginio organizavimas ,"Žvėryno bendruomenės daugiafunkcinis centro asociacija; Vilniaus suaugusiųjų mokymo centras; Vilniaus Žvėryno gimnazija""",,,,Gedimino naktis
MK,Žvėryno seniūnija,BVPŽ kodas 79952000-2,Paslaugos,120,2014-04-22,5/8/2014,2014-05-19 sutartis Nr. A62-34/14(3.10.21-AD4),Asociacija Žvėryno bendruomenės daugiafunkcnis centras,Mažiausia kaina,-,"2,820.00   ",Žvėryno seniūnijos bendruomenės kultūrinio renginio organizavimas ,"Žvėryno bendruomenės daugiafunkcinis centro asociacija; Vilniaus suaugusiųjų mokymo centras; Vilniaus Žvėryno gimnazija""",,,,Kaimynų dienos
MK,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,121,2014-04-23,4/23/2014,2014-05-05 sutartis Nr. A64-61/14(3.10.22-AD4),"UAB ""Kalba LT""",Taisyklių 74.9 punktas,-,"2,475.00   ",Individualūs anglų kalbos kursai,"UAB ""Kalba Lt""",,,,
DK,Miesto ūkio ir transporto departamentas Miesto tvarkymo skyrius,BVPŽ kodas 45112700-2,Darbai,122,2014-04-25,6/17/2014,2014-07-08 sutartis Nr. A62-74/14(3.10.21-AD4),"UAB ""Tvorų tiekimas""",Mažiausia kaina,-,"104,761.80   ","Šiukšliadėžių, suolų, stendų įrengimas ir remontas","UAB ""Tvorų tiekimas""; UAB ""zona optima""; UAB ""Sentios""' UAB ""Stebulė""",,,,
MK,Užsienio ryšių skyrius,BVPŽ kodas 22110000-4,Prekės,123,2014-04-25,5/5/2014,"1) 2014-04-28 PVM sąskaita-faktūra Nr. DPF14082 leidinys VšĮ ""Demokratijos plėtros fondas""; 2) 2014-05-06 PVM sąskaita-faktūra Nr. PAK 0008854 - R. Paknio leidykla; 3) 2014-05-05 PVM sąskaita-faktūra Nr. NKN0003122 - UAB ""Nacionalinė knyga""","Nr. 113/1 - leidinys VšĮ ""Demokratijos plėtros fondas""; 2. Nr. 113/2 - R. Paknio leidykla; 3. Nr. 113/3 - UAB ""Nacionalinė knyga""",74.8 punktas,-,"8,939.99   ",Knygos svečiams iš užsienio,"UAB ""Nacionalinė knyga""; R. Paknio leidykla; VšĮ ""Demokratijos plėtros fondas""",,,,
MK,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,124,2014-04-29,4/29/2014,2014-04-23 PVM sąskaita - faktūra Nr. 254,Lietuvos projektų vadybos asociacija,Taisyklių 74.9 punktas,-,"2,500.00   ","Konferencija ""Baltic PM""",Lietuvos projektų vadybos asociacija,,,,
MK,Aprūpinimo ir transporto skyrius,BVPŽ kodas 85100000-0,Paslaugos,125,2014-04-29,5/23/2014,2014-07-22 PVM sąskaita faktūra Nr. KPB0976; 201407-31 Nr. 0981,"VšĮ ""Karoliniškių poliklinika""",Mažiausia kaina,-,"2,288.88   ",Skiepijimas nuo erkinio encefalito,"VšĮ ""Naujosios Vilnios poliklinika""; VšĮ ""Centro poliklinika"" (nepateikė pasiūlymo); VšĮ ""Karoliniškių poliklinika""",,,,
MK,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,126,2014-04-29,4/29/2014,2014-05-01 PVM sąskaita-faktūra Nr. BITA 062,Bendrovių ir institucijų teisininkų asociacija,Taisyklių 74.9 punktas,-,700.00   ,"Konferencija ""Bendrovių teisės diena 2014""",Bendrovių ir institucijų teisininkų asociacija,,,,
MK,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,127,2014-05-02,5/2/2014,2014-05-07 PVM sąskaita - faktūra Nr. MCD 009259,"VšĮ Valstybės ir savivaldybių tarnautojų mokymo centras ""Dainava""",Taisyklių 74.9 punktas,-,990.00   ,Seminaras seniūnams ir seniūnijų darbuotojams,"VšĮ Valstybės ir savivaldybių tarnautojų mokymo centras ""Dainava""",,,,
MK,E. miesto departamentas,BVPŽ kodas 30200000-1,Prekės,128,2014-05-05,5/6/2014,2014-06-04 sutartis Nr. A68-17/14(3.10.26-AD4),"UAB ""Fleksneta""",Mažiausia kaina,-,"3,206.50   ",SSL sertifikatų pirkimas,"UAB ""Skaitmeninio sertifikavimo centras""; UAB ""Hostex""; UAB ""Fleksneta""; UAB ""Sisteminio administravimo technologijos ir įranga""",,,,
MK,E. miesto departamentas,BVPŽ kodas 70000000-1,Paslaugos,129,2014-05-07,5/12/2014,2014-06-16 sutartis Nr. A64-81/14(3.10.22-AD4),"VĮ ""Registrų centras""",Mažiausia kaina,3.62,"3,332.34   ",Neįregistruotų daiktų skaičiuoklės teikimo paslaugos,"UAB ""Aiso"" (nepateikė pasiūlymo); UAB ""Nidulus Appraisal""(nepateikė pasiūlymo); UAB ""Inreal"" (nepateikė pasiūlymo); UAB ""GEO Baltija""(nepateikė pasiūlymo);' Vį ""Registrų centras""",,,,
MK,Miesto ūkio ir transporto departamentas,BVPŽ kodas 45233252-0,Darbai,130,2014-05-13,6/17/2014,2014-07-29 sutartis Nr. A62-79/14(3.10.21-AD4),"UAB ""Tvirta""",Mažiausia kaina,-,"171,988.49   ",S. Batoro gatvės rekonstrukcija ir taisymas (remontas),"UAB ""Tvirta""; UAB ""Lemmininkainen Lietuva""; AB ""Kauno tiltai""; UAB ""Fegda""; UAB ""Gatvių statyba""",,,,
MK,Saugaus miesto departamentas,BVPŽ kodas 18100000-0,Prekės,131,2014-05-13,8/29/2014,2014-09-29 sutartis Nr.A68-39/14(3.10.23-AD4),"UAB ""Kelemana""",Mažiausia kaina,-,"69,559.27   ","Profesiniai drabužiai, specialūs darbo drabužiai ir jų priedai","UAB ""Kelemana""; UAB ""SDG kodas""",,,,
MK,Antakalnio seniūnija,BVPŽ kodas 45420000-7,Darbai,132,2014-05-14,5/14/2014,2014-05-21 sutartis Nr. A62-35/14(3.10.21-AD4),"UAB ""Naujininkų ūkis""",Mažiausia kaina,-,"4,384.00   ",Stalių ir dailidžių montavimo darbai,"UAB ""Stebulė""; UAB ""Mano būstas""; UAB ""Naujininkų ūkis""",,,,
MK,Civilinės saugos skyrius,BVPŽ kodas 79421200-3,Paslaugos,133,2014-05-14,5/20/2014,2014-05-23 sutartis Nr. A64-66/14(3.10.22-AD4),Rytų Europos partnerystės ir investicijų asociacija,Mažiausia kaina,-,"16,800.00   ","Europos Sąjungos konkurso ""Civilinės saugos ir jūros taršos pasirengimo bei prevencija"" projekto rengimas","1. ""Rytų Europos partnerystės ir investicijų asociacija""; 2. UAB ""Fenix Capital Consulting""",,,,
DK,Miesto ūkio ir transporto departamentas,BVPŽ kodas 45316100-6,Darbai,134,2014-05-16,9/30/2014,2014-11-07 sutartis Nr. A62-138/14(3.10.21-AD4),"UAB ""Švenčių studija""",Mažiausia kaina,-,"97,180.00   ","Šventinis Gedimino pr., Konstitucijos pr., Rotušės a., Vokiečių g., Vrublevskio g., Pilies g.,  Šventaragio g. papuošimas šviečiančiais elementais šv. Kalėdų ir Naujųjų metų proga","UAB ""Adam Decolight""; UAB ""Švenčių studija""",,,,
MK,Personalo departamentas,BVPŽ kodas 80522000-9,Paslaugos,135,2014-05-16,5/16/2014,2014-05-23 PVM sąskaita-faktūra FEDA Nr. 140100609,Vilniaus miesto Teisės fakulteto mokymo centras,Taisyklių 74.9 punktas,-,837.00   ,Viešųjų pirkimų teisinio reguliavimo pokyčiai ir teismų praktikos tendencijos,Vilniaus miesto Teisės fakulteto mokymo centras,,,,
