Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.",Suma,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Šnipiškių seniūnija,BVPŽ kodas 45236290-9                                                                       ,81,"2012-06-22 sutartis Nr. A62-33(3.10.21-FN4) UAB ""Kitoks požiūris""",9159.7,Lauko treniruoklių įrengimas,"UAB ""Kitoks požiūris"", UAB ""Ernesto Mažoji Miesto Architektūra"", UAB ""Patikimas turtas"", UAB ""Mažoji architektūra"""
Lazdynų seniūnija,BVPŽ kodas 45453100-8,82,NEVYKDYTAS PIRKIMAS,,Lazdynų seniūnijos kiemų avarinių duobių remontas,
Pašilaičių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,83,"2012-05-25 sutartis Nr. A64-69(3.10.22-FN4) VšĮ ""Herkulis"" ",4970,"Pašilaičių bendruomenės šventė ""Pašilaičių pavasaris 2012""","UAB ""Medusa Concert"", UAB ""Vėjų fėja"", VšĮ Herkulis"
Karoliniškių seniūnija,BVPŽ kodas 45233200-1,84,"2012-07-10 sutartis Nr. A62-41(3.10.21-FN4) UAB ""Vilniaus Zunda""",10000,"Šaligatvių, pėsčiųjų takų ir kitų kietų dangų atnaujinimo ir remonto darbai","UAB ""Vilniaus Zunda"", UAB 'Stebulė"", UAB ""Trajana"""
Karoliniškių seniūnija,BVPŽ kodas 45112700-2,85,"2012-07-10 sutartis Nr. A62-40(3.10.21-FN4) UAB 'Stebulė""",10000,"Želdynų, gėlynų atnaujinimo ir naujų įrengimo darbai","UAB ""Jūsų sodui"", UAB ""Genflora"", UAB ""Stebulė"""
Karoliniškių seniūnija,BVPŽ kodas 45236290-9,86,"2012-07-10 sutartis Nr. A62-39(3.10.21-FN4) UAB ""Aiža""",10836,Suoliukų ir kitos kiemų įrangos remonto darbai,"UAB ""Aiža"", UAB ""Julsata"", UAB ""Midogė"""
Karoliniškių seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,87,"2012-05-31 sutartis Nr. A64-72(3.10.22-FN4) VšĮ ""Diskomas"" ","5,400.00",Karoliniškių seniūnijos renginio techninis aprūpinimas,"VšĮ ""Diskomas"", UAB ""TOPAZ LT"", UAB ""Scenos techninis servisas"", Karoliniškių bendruomenė, VšĮ ""LILIBRA"""
Rasų seniūnija,BVPŽ kodas 45233200-1,88,"2012-06-12 sutartis Nr. A62-28(3.10.21-FN4) UAB ""Statvilsta""",19998.88,Šaligatvių remontas,"UAB ""Statvilsta"", UAB ""Ostas"", UAB ""Tavastis"""
Rasų seniūnija,BVPŽ kodas 45236290-9,89,"2012-07-10 sutartis Nr. A62-38(3.10.21-FN4) UAB ""Statvilsta""",8494.2,Laiptų remontas,"UAB ""Statvilsta"", UAB ""Ostas"", UAB ""Tavastis"""
Lazdynų seniūnija,26 paslaugų kategorija BVPŽ kodas 92312200-3,90,"2012-06-04 sutartis Nr. A64-74(3.10.22-FN4) UAB ""Vikšris""",7999.31,Lazdynų Joninių šventės organizavimas,"UAB ""Kibilda"", Asociacija ""Šventė visiems"", UAB ""Vikšris"""
Teisės departamentas,21 paslaugų kategorija BVPŽ kodas 79100000-5,91,"2012-07-09 sutartis Nr A64-98(3.10.22-FN4) Advokatų profesinė bendrija ""MOTIEKA&AUDZEVIČIUS""",89880,Teisinės paslaugos,"Advokatų kontora Bernotas ir Dominas Glimstedt, Advokatų profesinė bendrija MAQS Law firm, Advokatų profesinė bendrija ""Motieka ir Audzevičius"""
Fabijoniškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,92,"2012-06-11 sutartis Nr. A64-81(3.10.22-FN4) VšĮ ""Mes jėga""",4900,Joninių šventės organizavimas,"VšĮ ""Mes jėga"", UAB ""Srėdė"" ir Ko, UAB ""Balsiukai"""
Fabijoniškių seniūnija,BVPŽ kodas 45236290-9,93,"2012-06-11 sutartis Nr. A62-24(3.10.22-FN4) UAB ""Aiža""  ",19900.01,Fabijoniškių seniūnijos sporto aikštelių ir suoliukų remontas,"UAB ""Aiža"", UAB ""Fabeta"", UAB ""Srėdė"" ir Ko"
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,94,"2012-06-14 PVM sąskaita faktūra Nr. EX 10046 UAB ""EKSPOZONA""",774.4,"Seminaras ""Atliekų tvarkymo naujovės ir aktualijos""","UAB ""Ekspozona"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,95,"2012-05-28 PVM sąskaita faktūra Nr. EMC 120202 UAB ""Ekonomikos mokymo centras""",380,"Seminaras „Darbo užmokesčio apskaita, remiantis VSAFAS. Praktinis taikymas 2012 metais“.","UAB ""Ekonomikos mokymo centras"""
Viršuliškių seniūnija,BVPŽ kodas 45233200-1,96,2012-07-11 sutartis Nr. A62-42(3.10.21-FN4) IĮ E.Michnevič,15399.91,Betoninių laiptų remonto darbai,"UAB ""Volmira"", IĮ E.Michnevič, UAB ""Narco statyba"""
Viršuliškių seniūnija,BVPŽ kodas 45233200-1,97,2012-06-01 sutartis Nr. A62-19(3.10.21-FN4) IĮ E.Michnevič,15399.91,"Smulkūs šaligatvių remontas, asfalto ir kietų dangų remontas","IĮ E.Michnevič, UAB ""Volmira"", UAB ""Narco statyba"""
Viršuliškių seniūnija,27 paslaugų kategorija BVPŽ kodas79952000-2,98,"2012-09-03 sutartis Nr. A64-139 (3.10.22-FN4) UAB ""Renginių klubas""","4,997.30",Kalėdinio renginio techninis aprūpinimas ir įgarsinimas,"UAB ""Audiocomas"", UAB ""ZAP grupė"", UAB ""Renginių klubas"""
"Švietimo, kultūros, sporto departamentas Sporto skyrius",17 paslaugų kategorija BVPŽ kodas 55300000-3,99,2012-05-31 PVM sąskaita faktūra Nr. PAT00709 2012-06-08 PVM sąskaita faktūra Nr. PAT00713 2012-05-25 PVM sąskaita faktūra Nr. PAT00700 2012-03-12 PVM sąskaita faktūra Nr. PAT00680,504.51,Svečių aptarnavimo paslaugos savivaldybės administraciniame pastate,UAB PATYS
Naujosios vilnios seniūnija,BVPŽ kodas 45233200-1,100,"2012-09-20 sutartis Nr. A62-107 (3.10.21-FN4) UAB ""Stebulė""",17999.96,"Takų ir kitų dangų, šaligatvių įrengimo ir remonto darbai","UAB ""Grinda"", UAB ""Stebulė"", UAB ""Trajana"""
Pilaitės seniūnija,BVPŽ kodas 45236290-9,101,"2012-06-12 sutartis Nr. A62-26(3.10.21-FN4) UAB ""LS ir KO statyba""",19900,"Sporto aikštelių,suoliukų, kiemo įrenginių priežiūra ir remontas","UAB ""LS ir CO statyba"". UAB ""VASA"", UAB ""Gvinta ir ko"""
Pilaitės seniūnija,BVPŽ kodas 45233200-1,102,"2012-06-12 sutartis Nr. A62-25(3.10.21-FN4) UAB ""LS ir KO statyba""",17700,"Šaligatvio, asfaltbetonio dangų, kiemo įrenginių remontas","UAB ""LS ir CO statyba"". UAB ""VASA"", UAB ""Gvinta ir ko"""
Finansų departamentas,6 paslaugų kategorija BVPŽ kodas 66171000-9,103,"2012-07-11 sutartis Nr. A64-99(3.10.22-FN4) UAB ""Kantalėja""",4840,Finansų konsultacinės paslaugos,"UAB ""Kantalėja"", UAB Ernst & Young baltic, UAB A Sprendimai"
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,104,"2012-05-10 PVM sąskaita faktūra Nr. ARG 00181 Asociacija ""Rūpestinga globa""",400,Seminaras „Mano ateitis socialinės globos sistemoje? Kokia?“,"Asociacija ""Rūpestinga globa"""
Verkių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,105,"2012-05-28 sutartis Nr. A64-70(3.10.22-FN4) VO ""Balsių bendruomenė""",2400,Verkių seniūnijos bendruomenės šventės organizavimo paslaugos,"Asociacija ""Baltupių savivaldos centras CEDRONAS"", VO ""Balsių bendruomenė"", Labdaros ir paramos fondas ""AMUS"""
Justiniškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,106,"2012-09-03 sutartis Nr. A64-138 (3.10.22-FN4) UAB ""Renginių klubas""","4,995.29",Sporto šventės (krepšinio turnyro) organizavimas Justiniškių seniūnijoje,"UAB ""Audiocomas"", UAB ""ZAP grupė"", UAB ""Renginių klubas"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45236290-9,107,"2012-06-20 sutartis Nr. A62-29(3.10.21-UK) UAB ""Stebulė""","99 776,60",Vingio parko estrados suolų remontas,"UAB ""Stebulė"", UAB ""Grinda"", UAB ""Vilniaus Zunda"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45236290-9,108,"2012-06-20 sutartis Nr. A62-30(3.10.21-UK) UAB ""Atsakingi sprendimai""","96 848,40",Kalnų parko žiūrovų tribūnos suolų remontas,"UAB ""Atsakingi sprendimai"", UAB ""Verslo bitė"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45236290-9,109,"2012-06-20 sutartis Nr. A62-31(3.10.21-UK) UAB ""Atsakingi sprendimai""",98 312,Kalnų parko žiūrovų tribūnos laiptų remontas,"UAB ""Atsakingi sprendimai"", UAB ""Verslo bitė"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45236290-9,110,"2012-06-20 sutartis Nr. A62-32(3.10.21-UK) UAB ""Stebulė""","99 280,50",Kalnų parko estrados remontas,"UAB ""Stebulė"", UAB ""Grinda"", UAB ""Vilniaus Zunda"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,111,"2012-05-24 PVM sąskaita faktūra Nr. MOD12 00061 UAB ""Mentoringas""",290,Finansinių ataskaitų auditas,"UAB ""Mentoringas"""
Vilkpėdės seniūnija,BVPŽ kodas 45236290-9,112,"2012-07-12 sutartis Nr. A62-45(3.10.21-FN4) UAB ""Medlain""",18407,Suoliukų remontas,"UAB ""Medlain"", UAB ""Mažoji architektūra"", UAB ""Grupsta"""
Vilkpėdės seniūnija,BVPŽ kodas 45236290-9,113,"2012-07-12 sutartis Nr. A62-46(3.10.21-FN4) UAB ""Stebulė""",19885.75,Šaligatvių remontas,"UAB ""Vilniaus Zunda"", UAB ""Stebulė"", UAB ""Trajana"""
Miesto plėtros departamentas,BVPŽ kodas 22120000-7,114,"2012-07-30 PVM sąskaita faktūra Nr. BAL0029001 UAB ""Baltų lankų"" leidyba",1350,"Leidinys ""Vilniaus naujosios architektūros gidas""","Pegasas, VAGA, Baltos lankos"
"Švietimo, kultūros ir sporto departamento Kultūros syrius",9 paslaugų kategorija BVPŽ kodas 79212100-4,115,"2012-08-22 sutartis Nr. A64-129 (3.10.22-KS) UAB ""Balanso auditas""",9600,"ES projekto ""ZEN-kultūrinio paveldui nedarančių poveikio renginių tinklas"" finansinė kontrolė","UAB ""Provisus"", UAB ""Balanso auditas"", UAB ""Jungtinė auditorių kontora"""
Ekonomikos ir investicijų departamento Turizmo skyrius,13 paslaugų kategorija BVPŽ kodas 79341000-6,116,"2012-07-31 suatrtis Nr.A64-119(3.10.22-EK) UAB ""Ekspozicijų centras""",9000,Vilniaus miesto reklama tarptautinėse parodose Poznanėje (Lenkija) ir St. Peterburge (Rusija),"UAB ""Ekspozicijų centras"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,117,2012-05-25 PVM sąskaita faktūra Nr. 0012 Valstybės ir savivaldybių vidaus auditorių asociacija,780,Vidaus auditorių profesinių gebėjimų tobulinimas,Valstbės ir savivaldybių vidaus auditorių asociacija
Lazdynų seniūnija,BVPŽ kodas 45453100-8,118,"2012-07-17 sutartis Nr. A62-47(3.10.21-FN4) UAB ""Stebulė""",19999.99,"Seniūnijos teritorijoje esančių laiptų, suoliukų, poilsio zonų atnaujinimas","UAB ""Stebulė"", UAB ""Trajana"", UAB ""Vilniaus Zunda"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 45421100-5,119,"2012-09-20 sutartis Nr. A62-106 (3.10.21-FN4) UAB ""Aluminium group""",7783.69,Varstomų langų įrengimo darbai,"UAB ""Petroleum Group"", UAB ""Aluminium group"", UAB ""MEGRAME LANGAI"", UAB ""ASF"", UAB ""Emadas"", UAB ""STIKLUDAS"", UAB ""Svelita"""
Miesto ūkio ir transporto d-s,BVPŽ kodas 45215400-1,120,"2012-09-03 sutartis Nr. A62-83 (3.10.21-UK) UAB ""Irdaiva""",268888.62,Senųjų Rasų kapinių šiaurinės tvoros dalies remontas,"UAB ""Vakonda group"", UAB ""Statybos ir rekonstrucijos darbai"", UAB ""Irdaiva"""
Miesto ūkio ir transporto d-s,BVPŽ kodas 45215400-1,121,"2012-07-05 sutartis Nr. A62-37(3.10.21-UK) UAB ""Eurostructus""",25500,Vartų įrengimas Stačiatikių kapinėse,"UAB ""EUROSTRUCTUS"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,122,2012-05-29 PVM sąskaita faktūra Nr. 2676 VšĮ Profesijos tobulinimo centras,1760,Seminaras „Naujausia Civilinio proceso aiškinimo ir taikymo praktika kasacinėje instancijoje ir kitos kasacijos naujienos“,VšĮ Profesijos tobulinimo centras
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,123,2012-06-14 PVM sąskaita faktūra Nr. ATVM 0001618 VšĮ Alantos technologijos ir verslo mokykla,80,"Seminaras „Švietimo aktualijos: indėlis, procesas, rezultatai“",VšĮ Alantos technologijos ir verslo mokykla
E. miesto departamentas,7 paslaugų kategorija BVPŽ kodas 72246000-1,124,"2012-07-26 sutartis Nr. A64-108(3.10.22-FN4) UAB ""Ekonominė nauda""",9861.5,VMSA Finansų valdymo ir apskaitos informacinės sistemos sukūrimo ir diegimo darbų išorinio įvertinimo paslauga,"UAB ""Ekonominė nauda"", UAB ""Apskaitos ir mokesčių konsultacijos"", UAB ""Tezaurus auditas"" "
Žvėryno seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,125,2012-07-19 sutartis Nr. A64-102(3.10.22-FN4) Asociacija Žvėryno bendruomenės daugiafunkcinis centras,3265,Žvėryno seniūnijos bendruomenės kultūrinio renginio organizavimas,"Žvėryno bendruomenės daugiafunkcinis centras, Vilniaus suaugusiųjų mokymo centras, VšĮ Kunigaikščio M.Giedraičio ainiai"
Žvėryno seniūnija,BVPŽ kodas 45236290-9,126,"2012-07-12 sutartis Nr. A62-44(3.10.21-FN4) UAB ""Stebulė""",9199.99,"Žvėryno seniūnijos suoliukų, sporto aikštelių remonto darbai, naujų šiukšlių dėžių, suoliukų pirkimas","UAB ""Stebulė"", UAB ""Grinda"", UAB ""Kerista"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 33141620-2,127,"2012-07-20 sutartis Nr. A68-21(3.10.23-FN4) UAB ""Gevanta""",1424.63,Medicininiai rinkiniai,"UAB ""Gevanta"", Valdo Mieldažio įmonė ""Salvija"", UAB ""Epi Farma"""
Verkių seniūnija,BVPŽ kodas 45233200-1,128,"2012-10-05 sutartis Nr. A62-132 (3.10.21-FN4) UAB ""Kerista""",69509.88,Krepšinio aikštelių dangų įrengimas,"UAB ""Akordas 1"", UAB ""Keldarista"", UAB ""Gatvių statyba"", UAB ""Kerista"""
Verkių seniūnija,BVPŽ kodas 22990000-6,129,"2012-06-25 PVM sąskaita faktūra Nr. PLM V201128973 UAB ""Alma""",999.66,Kanceliarinių prekių ir medžiagų pirkimas,"UAB ""Staipa, UAB ""Alma"", UAB ""Edvonis"""
Verkių seniūnija,26 paslaugų kategorija BVPŽ kodas 92312200-3,130,"2012-06-27 sutartis Nr. A64-91(3.10.22-FN4) Asociacija ""Baltupių savivaldos centras CEDRONAS"" ","4,704.00",Verkių seniūnijos vaikų ir jaunimo vasaros poilsio renginių organizavimo paslaugos,"Asociacija ""Baltupių savivaldos centras CEDRONAS"", Acociacija ""Balsių bendruomenė"", Labdaros ir paramos fondas ""AMUS"""
Verkių seniūnija,BVPŽ kodas 45420000-7,131,"2012-06-28 sutartis Nr. A62-35(3.10.21-FN4) UAB ""Alvora""",3957.97,Verkių seniūnijos rinkimų apylinkių inventoriaus montavimo ir remonto darbai,"UAB ""Alvora"", UAB ""Vilniaus Zunda"", UAB ""Stebulė"""
Grigiškių seniūnija,BVPŽ kodas 45236290-9,132,"2012-09-04 sutartis Nr. A62-85 (3.10.21-FN4) UAB ""Aiža""",2830,"Vaikų žaidimo aikštelių, sporto aikštelių ir suoliukų remontas","UAB ""Aiža"", UAB ""Julsata"", UAB ""CGS"", UAB ""Statvilsta"""
Grigiškių seniūnija,BVPŽ kodas 45233200-1,133,"2012-09-20 sutartis Nr. A62-108 (3.10.21-FN4) UAB ""Refakta"" ",2901.72,Kietų dangų remontas,"UAB ""Kerista"", UAB ""Keldarista"", UAB ""Grinda"", UAB ""Gatvių statyba"", UAB ""Refakta"""
Žvėryno seniūnija,BVPŽ kodas 45233200-1,134,"2012-07-12 sutartis Nr. A62-43(3.10.21-FN4) UAB ""Grinda""",19990,Žvėryno seniūnijos šaligatvių ir kitų kietų dangų bei laiptų remonto darbai,"UAB ""Grinda"", UAB ""Gatvių statyba"", UAB ""Kerista"""
Žvėryno seniūnija,BVPŽ kodas 42420000-7,135,"2012-07-19 sutartis Nr. A62-48(3.10.21-FN4) UAB ""Grinda""",2279.64,"Rinkimų apylinkių paruošimas: inventoriaus remonto, sumontavimodemontavimo darbai","UAB ""Grinda"", UAB ""Atira"", UAB ""Naujamiesčio būstas"""
Naujamiesčio seniūnija,BVPŽ kodas 45420000-7,136,"2012-07-19 sutartis Nr. A62-49(3.10.21-FN4) UAB ""Grinda""",3773.99,"Rinkimų apylinkių paruošimas: inventoriaus remonto, sumontavimodemontavimo darbai","UAB ""Grinda"", UAB ""Atira"", UAB ""Naujamiesčio būstas"""
Miesto ūkio ir transporto d-tas,BVPŽ kodas 45453000-7,137,NEĮVYKO ,,"Paminklo ""Kregždutės"" remontas Vilniaus mieste",
Miesto ūkio ir transporto d-tas,BVPŽ kodas 45453000-7,138,NEĮVYKO ,,Žaliojo tilto skulptūrų remontas Vilniaus mieste ,
Šeškinės seniūnija,1 paslaugų kategorija BVPŽ kodas 50700000-2,139,"2012-10-12 sutartis Nr. A64-157 (3.10.22-FN4) UAB ""Algrimitas""",1445.99,Šeškinės seniūnijos unitazų remonto darbai,"UAB ""Algrimitas"", UAB ""Mano būstas LT"", UAB ""Stelitas"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 92300000-4,140,"2012-06-28 PVM sąskaita faktūra Nr. EMC 120227 UAB ""Ekonomikos mokymo centras""",380,Valstybės turto ir lėšų valdymas biudžetinėse įstaigose. Supaprastinti viešieji pirkimai,"UAB ""Ekonomikos mokymo centras"""
Miesto ūkio ir transporto d-tas,BVPŽ kodas 45233290-8,141,"2012-10-08 sutartis Nr. A62-134 (3.10.21-UK) UAB ""Zona optima""",299999.99,"Kelio ženklų ""stotelė"" keleivinio transporto stotelėse pastatymo ir remonto darbai","UAB ""Bipa"", UAB ""Eismo sauga"", UAB ""Maniga"", UAB ""Biseris"", UAB ""Urbico"", UAB ""Zona optima"""
Ekonomikos ir investicijų departamento Turizmo skyrius,11 paslaugų kategorija BVPŽ kodas 79416000-3,142,2012-08-23 sutartis Nr. A64-132 (3.10.22-EK) AB ArrivalGuides,9667.84,Vilniaus miesto viešinimo Ryanair tinklalapyje pirkimas,"AB ""ArrivalGuides"""
Antakalnio seniūnija,26 paslaugų kategorija BVPŽ kodas 92000000-1,143,"2012-12-03 sutartis Nr. A64-178 (3.10.22-FN4) Asociacija ""Antakalniečių bendruomenė""",3466,Bendruomenės renginių organizavimas,"Asociacija ""Antakalniečių bendruomenė"", VšĮ ""Renginių idėjos ir organizavimas"", Antakalnio vaikų ir jaunimo klubas"
Antakalnio seniūnija,BVPŽ kodas 45236290-9,144,"2012-08-16 sutartis Nr. A62-59 (3.10.21-FN4) UAB ""Stebulė""",3 599,"Sporto aikštelių, suoliukų ir džiovyklų remonto darbai","UAB ""Stebulė"", UAB ""Keldarista"", UAB ""StatVilsta"""
Antakalnio seniūnija,BVPŽ kodas 45233200-1,145,"2012-08-16 sutartis Nr. A62-58 (3.10.21-FN4) UAB ""Keldarista""",19 999,"Smulkus šaligatvių, asfalto ir kitų kietų dangų","UAB ""Eurovia Lietuva"", UAB ""Stebulė"", UAB ""Sostinės gatvės"", UAB ""Keldarista"""
Antakalnio seniūnija,BVPŽ kodas 45420000-7,146,"2012-10-12 sutartis Nr. A62-141 (3.10.21-FN4) UAB ""Graivis""",4600,Rinkiminių apylinkių parengimas Lietuvos Respublikos Seimo rinkimams,"UAB ""Vilniaus Zunda"", UAB ""Graivis"", UAB ""NDI internacional"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45223000-6,147,NEĮVYKO,,Naujosios Vilnios geležinkelio stoties memorialo uždengimas,
Aprūpinimo ir transporto skyrius,BVPŽ kodas 45421000-4,148,"2012-08-28 sutartis Nr. A62-69 (3.10.21-FN4) UAB ""Prekybiniai sprendimai""",108950,"Balsavimo kabinų, balsadėžių ir balsavimo iškabų pagaminimas","UAB ""Sentios"", UAB ""Prekybiniai sprendimai"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 32351000-8,149,"2012-07-24 sutartis Nr. A68-22 (3.10.23-FN4) UAB ""Unolita""",7999.31,Garso įir vaizdo aparatūros priedai,"UAB ""Unolita"", UAB ""Vilbros prekyba"", UAB ""Konferenta"""
Viešųjų ryšių skyrius,10 paslaugų kategorija BVPŽ kodas 79311200-9,150,"2012-07-31 PVM sąskaita faktūra Nr. A0018462 UAB ""Mediaskopas""",5711.2,Žiniasklaidos tyrimų paslaugos,"UAB ""Addvisors"", UAB ""Mediaskopas"", UAB ""BNS"""
Fabijoniškių seniūnija,BVPŽ kodas 39000000-2,151,"2012-12-03 PVM sąskaita faktūra Nr. KER 2012/12.01 UAB ""Kernavės būstas""",8900,Baldų įsigijimas Fabijoniškių seniūnijos bendruomenės reikmėms,"UAB ""AJG Transport"", UAB ""Kernavės būstas"", UAB ""VS Grupė"""
Šnipiškių seniūnija,BVPŽ kodas 45453100-8,152,"2012-09-14 sutartis Nr. A62-102 (3.10.21-FN4) UAB ""Rudmė""",18950,Bendruomenės patalpų remontas,"UAB ""Rudmė"", UAB ""Euro RG"", UAB ""Restovė ir ko"", UAB ""Kaminkrėtys"""
Šnipiškių seniūnija,BVPŽ kodas 45212140-9,153,"2012-08-16 sutartis Nr. 62-60 (3.10.21-FN4) UAB ""Stebulė""","9 994,60","Prisitraukimo skersinių, buomų, skelbimo lentų įrengimas","UAB ""Stebulė"", UAB ""Metalo sprendimai"", UAB ""Statvilsta"", UAB ""Akordas 1"""
Naujamiesčio seniūnija,BVPŽ kodas 45212140-9,154,"2012-09-10 sutartis Nr. A62-95 (3.10.21-FN4) UAB ""Stebulė""",11999.57,Žaliosios poilsio aikštelės įrengimas Naujamiesčio seniūnijoje,"UAB ""Stebulė"", UAB ""Kerista"", UAB ""Grinda"""
Žvėryno seniūnija,"BVPŽ kodas 37535200-9, 45350000-5",155,"2012-08-16 sutartis Nr. A62-61 (3.10.21-FN4) UAB ""Stebulė""",4958.58,Futbolo vartų prie pėsčiųjų Žvėryno tilto įrengimas,"UAB ""Stebulė"", UAB ""Grinda"", UAB ""Kerista"""
Žvėryno seniūnija,BVPŽ kodas 45212140-9,156,"2012-08-16 sutartis A62-62 (3.10.21-FN4) UAB ""Stebulė""",11979,Aplinkos (žaliosios) poilsio teritorijos sutvarkymas prie Žvėryno akmens (kraštovaizdžio darbai),"UAB ""Stebulė"", UAB ""Grinda"", UAB ""Kerista"""
Žvėryno seniūnija,17 paslaugų kategorija BVPŽ kodas 55241000-1,157,2012-09-12 sutartis Nr. A64-145 (3.10.22-FN4) Asociacija Žvėryno bendruomenės daugiafunkcinis centras,1950,Tradicinės šventės Žvėryno bendruomenei organizavimas,"Žvėryno bendruomenės daugiafunkcinis centras, Vilniaus suaugusiųjų mokymo centras, VšĮ Kunigaikščio M.Giedraičio ainiai"
Rasų seniūnija,BVPŽ kodas 45236290-9,158,"2012-11-13 sutartis Nr. A62-151 (3.10.21-FN4) UAB ""Statvilsta""",19983.15,Žaidimo aikštelių remontas,"UAB ""StatVilsta"", UAB ""Tinkuva"", UAB ""InGlobe Solutions"""
Rasų seniūnija,BVPŽ kodas 37535200-9,159,"2012-11-13 sutartis Nr. A62-152 (3.10.21-FN4) UAB ""Stativilsta""",4995.3,Žaidimo aikštelių įrengimas,"UAB ""Tinkuva"", UAB ""Tavastis"", UAB ""StatVilsta"""
Lazdynų seniūnija,BVPŽ kodas 45112711-2,160,"2012-10-18 sutartis Nr. A62-143 (3.10.21-FN4) UAB ""Stebulė""",19971.05,E. Šimkūnaitės skvero sutvarkymas,"UAB ""Trajana"", UAB ""Grinda"", UAB ""Gerbūvio darbai"", UAB ""Stebulė"""
Lazdynų seniūnija,BVPŽ kodas 22110000-4,161,"2012-07-27 PVM sąskaita faktūra Nr. PA 0034383 UAB ""Humanitas""",916.96,Knygos,"UAB ""ALG Knygynai"", UAB ""Humanitas"", UAB ""Rotas"""
Lazdynų seniūnija,BVPŽ kodas 45236290-9,162,"2012-08-17 sutartis Nr. A62-64(3.10.21-FN4) UAB ""Aiža""",19999.99,Vaikų žaidimo aikštelių remontas,"UAB ""Midogė"", UAB ""Julsata"", UAB ""AIŽA"""
Lazdynų seniūnija,BVPŽ kodas 45420000-7,163,"2012-09-17 sutartis Nr. A62-103 (3.10.21-FN4) UAB ""Rudmė""",3663.88,Rinkimų apylinkių parengimas LR Seimo rinkimams,"UAB ""Rudmė"", UAB ""Atsakingi sprendimai"", UAB ""Naujoji Pilaitė"""
Antakalnio seniūnija,BVPŽ kodas 45236290-9,164,"2012-12-03 sutartis Nr. A62-163 (3.10.21-FN4) UAB ""Stebulė""",19399.93,Sporto įrenginių remontas,"UAB ""Metalo sprendimai"", UAB ""Stebulė"", UAB ""Trajana"", UAB ""Keldarista"""
Antakalnio seniūnija,BVPŽ kodas 45236290-9,165,"2012-12-03 sutartis Nr. A62-162 (3.10.21-FN4) UAB ""Stebulė""","17,000.00",Vaikų žaidimo aikštelių įrengimas ir remontas,"UAB ""Metalo sprendimai"", UAB ""Trajana"", UAB ""Stebulė"""
Antakalnio seniūnija,BVPŽ kodas 18530000-3,166,"NEĮVYKO, BENDRUOMENĖ ATSISAKĖ",,Metalinių ženkliukų įsigijimas,
Antakalnio seniūnija,BVPŽ kodas 45236290-9,167,"2012-11-16 sutartis Nr. A62-154 (3.10.21-FN4) UAB ""Statvilsta""",10000,Suoliukų įrengimas,"UAB ""Statvilsta"", UAB ""Tinkuva"", UAB ""Tavastis"""
Naujosios vilnios seniūnija,BVPŽ kodas 45236290-9,168,"2012-09-12 sutartis Nr. A62-98 (3.10.21-FN4) UAB ""Gedulis""",13997.21,Sporto aikštelių įrengimo ir atnaujinimo darbai,"UAB ""Menhiras"", UAB ""Gedulis"", UAB ""Languvita"""
Naujosios vilnios seniūnija,BVPŽ kodas 45420000-7,169,"2012-09-13 sutartis Nr. A62-100 (3.10.21-FN4) UAB ""Priemiestis""",4575.54,Rinkimo apylinkių paruošimo darbai,"UAB ""Inglobe"", UAB ""Tomosta"", UAB ""Priemiestis"""
Naujosios vilnios seniūnija,BVPŽ kodas 45212140-9,170,"2012-09-13 sutartis Nr. A62-101 (3.10.21-FN4) UAB ""Patikimas turtas""",19666.52,Poilsiui skirtų įrenginių pastatymo ir įrengimo darbai,"UAB ""An ranga"", UAB ""Kraštovaizdžio specialistų biuras"", UAB ""Patikimas turtas"""
