Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.", Pirkimo suma su sutarties pratęsimu Lt / galutinė suma 1 metams Lt,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
E. miesto departamentas,12 paslaugų kategorija BVPŽ kodas 71621000-7,84,2013-06-25 sutartis Nr. A64-52 (3.10.22-EM) Vilniaus Gedimino technikos universitetas,"  4,235.00 Lt ",Mokslinis tyrimas,"UAB ""nSoft"", UAB ""Koetelių fabrikas"", VGTU IT ir sistemų centras"
Miesto plėtros departamentas,9 paslaugų kategorija BVPŽ kodas 79212000-3,85,"2013-08-01 sutartis Nr. A64-84(3.10.22-FN4) UAB ""Provisus""","  5,808.00 Lt ",Audito paslaugos,"UAB ""Provisus"". UAB ""Balanso auditas"", UAB ""Jungtinė auditorių kontora"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas80522000-9,86,2013-05-14 PVM sąskaita faktūra Nr. TN 57 VšĮ Taupus namas,  360.00 Lt ,"Seminaras ""Savivaldybėms paskirtų funkcijų, vykdant statinių...""",VšĮ Taupus namas
Civilinės metrikacijos skyrius,8 paslaugų kategorija BVPŽ kodas 73110000-6,87,2013-09-30 sutartis Nr. A64-99(3.10.22-FN4) VGTU,"  9,801.00 Lt ",CMS pastato Santuokų salės vitražo konstrukcijų tyrimai,"VGTU Specialiųjų statinių ir konstrukcijų mokslo institutas ""Kompozitas"", UAB ""Statybinių darbų laboratorija"", Juliaus Šaltenio pastatų ir konstrukcijų terimų montavimų PĮ"
Fabijoniškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,88,2013-06-10 sutartis Nr. A64-47 (3.10.22-FN4) VšĮ Mes-jėga,"  4,990.00 Lt ",Joninių šventės organizavimas,"VšĮ Mes-jėga, UAB ""Fabeta"", UAB ""Tamsta"""
Fabijoniškių seniūnija,BVPŽ kodas 45236290-9,89,"2013-06-10 sutartis Nr. A62-17 (3.10.21-FN4) UAB ""Aiža""","  7,000.00 Lt ",Poilsio zonų remonto darbai,"UAB ""Aiža"", UAB ""Srėdė"" ir KO, UAB ""Midogė"", UAB ""Julsata"""
Fabijoniškių seniūnija,BVPŽ kodas 45233200-1,90,"2013-06-10 sutartis Nr. A62-18 (3.10.21-FN4) UAB ""Stebulė""","  19,000.00 Lt ","Smulkus šaligatvių, laiptų, turėklų remontas","UAB ""Stebulė"", UAB ""Grinda"", UAB ""Trajana"", UAB ""Gerbūvio darbai"""
Rasų seniūnija,BVPŽ kodas 42536290-9,91,"2013-10-16 sutartis Nr. A62-77(3.10.21-FN4) UAB ""Statvilsta""","  3,698.97 Lt ",Laiptų remontas,"UAB ""Statvilsta"", UAB ""Ostas"", UAB ""Tavastis"""
Rasų seniūnija,BVPŽ kodas 45233200-1,92,"2013-07-10 sutartis Nr. A62-24(3.10.21-FN4) UAB ""Statvilsta""","  16,999.29 Lt ",Šaligatvių remontas,"UAB ""Statvilsta"", UAB ""Ostas"", UAB ""Tavastis"""
Grigiškių seniūnija,BVPŽ kodas 45236290-9,93,"2013-07-10 sutartis Nr. A62-25(3.10.21-FN4) UAB ""Aiža""","  2,999.00 Lt ","Vaikų žaidimo, sporto aikštelių, suoliukų remontas","UAB ""Naujininkų ūkis"", UAB ""Aiža"", UAB ""Gedulis"""
Šeškinės seniūnija,BVPŽ kodas 45236290-9,94,"2013-06-21 sutartis Nr. A62-20 (3.10.21-FN4) UAB ""Verslo transformacija""","  11,999.99 Lt ",Poilsio zonų remonto darbai,"UAB ""Fasadų apšiltinimo sistemos"", UAB ""Degsnė"", UAB ""Verslo transformacija"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80422200-0,95,"2013-05-21 PVM sąskaita faktūra Nr. ALK 13237 Asociacija ""Lietuvos keliai""","  1,437.48 Lt ","Kvalifikacijos kėlimo kursas atestatui gauti, suteikiant teisę eiti ypatingo statinio statybos techninės priežiūros vadovo pareigas","Asociacija ""Lietuvos keliai"""
Verkių seniūnija,BVPŽ kodas 45453100-8,96,"2013-09-03 sutartis Nr. A62-52(3.10.21-FN4) UAB ""Gedulis""","  10,448.81 Lt ",Verkių seniūnijos bendruomenės centro patalpų remonto darbai,"UAB ""Alvora"", UAB ""Gedulis"", UAB ""Menhiras"""
Verkių seniūnija,BVPŽ kodas 32342410-9,97,2013-05-23 PVM sąskaita faktūra Nr. VMF0008352,"  4,199.80 Lt ",Garso aparatūros renginiams pirkimas,"UAB ""Megatonas"", UAB ""Tamsta"", UAB ""Muzikos faktorius"""
Verkių seniūnija,BVPŽ kodas 39133000-3,98,"2013-09-24 sutartis Nr. A68-44(3.10.23-FN4) UAB ""Loro""","  9,075.00 Lt ",Informacinio stendo Balsiuose įrengimas,"UAB ""Loro"", VšĮ ""Vizualinių komunikacijų studija"", UAB ""Metalo sprendimai"", UAB ""Trademax"""
Socialinių išmokų skyrius,BVPŽ kodas 30200000-1,99,"2013-08-14 sutartis Nr. A68-31(3.10.23-SR) UAB ""Kompiuterinių sistemų centras""               2013-08-14 sutartis Nr. A68-30(3.10.23-SR) UAB ""BAIP""","  2,530.11 Lt ",Kompiuterinė įranga ir reikmenys (3),CPO
Socialinių išmokų skyrius,BVPŽ kodas 30232110-8,100,"2013-08-02 sutartis Nr. A68-26(3.10.23-FN4) UAB ""Novakopa""","  9,999.44 Lt ",Lazeriniai spausdintuvai (3),CPO
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,101,2013-05-28 PVM sąskaita faktūra Nr. VLS016834,  500.00 Lt ,"Asmens, atsakingo už įmonės šilumos ūkį, mokymai",VšĮ Respublikinis energetikų mokymo centras
Teisės departamentas,21 paslaugų kategorija BVPŽ kodas 79100000-5,102,"2013-07-09 sutartis Nr. A64-58(3.10.22-FN4) Advokatų profesinė bendrija ""Motieka & Audzevičius""","  90,000.00 Lt ",Teisinės paslaugos,"Advokatų profesinė bendrija MAQS Law firm, advokatų profesinė bendrija ""Motieka & Audzevičius"""
Naujininkų seniūnija,1 paslaugų kategorija BVPŽ kodas 507010000-2,103,"2013-08-05 sutartis Nr. A64-89(3.10.22-FN4) UAB ""Naujininkų ūkis""","  8,630.11 Lt ",Patalpų Dariaus ir Girėno g. 11 administravimas,"UAB ""Naujininkų ūkis"""
Panerių seniūnija,1 paslaugų kategorija BVPŽ kodas 50700000-2,104,"2013-07-12 sutartis Nr. A64-64(3.10.22-FN4) UAB ""Naujininkų ūkis""","  9,180.00 Lt ",Panerių seniūnijos naudojamų patalpų administravimo paslaugų pirkimas,"UAB ""Naujininkų ūkis"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 44100000-1,105,Neįvyko,,Statybinės medžiagos ir panašūs gaminiai,
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,106,"2013-08-22 PVM sąskaita faktūra Nr. ERA593 UAB ""Žinių era""","  4,114.00 Lt ",Statybą reglamentuojančių įstatymų ir kitų teisės aktų apžvelga. Naujovės ir aktualijos,"UAB ""Žinių era"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,107,"2013-06-21 PVM sąskaita faktūra Nr. MOD13 00081 UAB ""Mentoringas""","  1,500.00 Lt ",Viešojo sektoriaus apskaitos ir finansinės atskaitomybės standartų taikymo mokymuose,"UAB ""Mentorinfgas"""
Viešųjų ryšių skyrius,9 paslaugų kategorija BVPŽ kodas 79212000-3,108,"2014-01-29 Nr. A64-10/14(3.10.22-FN4), suma 6292,00 Lt","  6,292.00 Lt ",Audito paslaugos,"UAB ""Audifina"", UAB ""Auditas"", UAB ""Apskaita ir turtas"""
Naujosios Vilnios seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,109,"2013-08-27 sutartis Nr. A64-98(3.10.22-FN4) Visuomeninė otganizacija ""Naujosios Vilnios bendruomenės centras""","  6,980.00 Lt ",Naujosios Vilnios bendruomenės renginys (renginys šalia N. Vilniaus piliavietės),"Balsių bendruomenė, Naujosios Vilnios bendruomenės centras, Užusienio bendruomenė"
Saugaus miesto departamentas,BVPŽ kodas 18832000-0,110,"2013-07-26 sutartis Nr. A68-24(3.10.23-SM) UAB ""Oksalis""","  9,860.00 Lt ",Specialioji avalynė,"UAB ""Valrima"", UAB ""Baltijos arsenalas"", L. Lukoševičienės IĮ, UAB ""Tuma"", UAB ""Oksalis"""
Panerių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,111,"2013-07-12 sutartis Nr. A64-63(3.10.22-FN4) UAB ""Scenos sevisas""","  1,573.00 Lt ",Joninių renginio organizavimas,"G. Mažono firma ""Emidija"", UAB ""Scenos servisas"", UAB ""Scenos techninis servisas"""
Lazdynų seniūnija,BVPŽ kodas 45421000-4,112,"2013-08-06 sutartis Nr. A62-37(3.10.21-FN4) UAB ""Stukma""","  3,949.54 Lt ",Stalių darbai,"UAB ""Gintauto statyba"", UAB ""Barita"", UAB ""Stukma"""
Lazdynų seniūnija,BVPŽ kodas 45236290-9,113,"2013-08-22 sutartis Nr. A62-49(3.10.21-FN4) UAB ""Grinda""","  19,999.99 Lt ",Poilsio zonų remonto darbai,"UAB ""Tiltuva"", UAB ""Grinda"", UAB ""Kerista"""
Naujosios Vilnios seniūnija,BVPŽ kodas 45236290-9,114,"2013-08-05 sutartis Nr. A62-36(3.10.21-FN4) UAB ""Grinda""","  17,000.00 Lt ","Sporto aikštelių, reklamos stendų, suoliukų, turėklų įrengimo ir remonto darbai","UAB ""Grinda"", UAB ""Stebulė"", UAB ""Trajana"""
Žirmūnų seniūnija,BVPŽ kodas 45112700-2,115,"2013-07-11 sutartis Nr. A62-27(3.10.21-FN) UAB ""Stabulė""","  7,000.00 Lt ",Suoliukų remonto darbai,"UAB ""Jumesta"", UAB ""Stebulė"", UAB ""Stilmeda"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 35120000-1,116,"2013-07-23 sutartis Nr. A68-23(3.10.23-FN4) UAB ""Faktora""","  1,254.59 Lt ",Serverinės temperatūros stebėjimo sistema,"UAB ""YIT Technika"", UAB ""Eltalis"", UAB ""Infotakas"", UAB ""Faktora"""
Justiniškių seniūnija,1 paslaugų kategorija BVPŽ kodas 50700000-2,117,"2013-07-17 sutartis Nr. A64-67(3.10.22-FN4) UAB ""Jurita""","  5,664.63 Lt ",Patalpų Rygos. G. 15 administravimo ir priežiūros paslaugos,"UAB ""Jurita"""
Justiniškių seniūnija,1 paslaugų kategorija BVPŽ kodas 50700000-2,118,Neįvyko,,Patalpų Rygos g. 31-1 administravimo ir priežiūros paslaugos,"UAB ""Justiniškių būstas"""
Miesto ūkio ir transporto departamentas,BVPŽ kodas 45112711-2,119,neįvyko,,Rekreacinių objektų įrengimas,"UAB ""Ūlos juvelyrų studija"", UAB ""Gedulis"""
Karoliniškių seniūnija,15 paslaugų kategorija BVPŽ kodas 78000000-7,120,2013-11-21 sutartis Nr. A64-144(3.10.22-FN4) Karoliniškių bendruomenė,"  8,290.00 Lt ",Leidinio apie Karoliniškių istoriją parengimas,"UAB ""Petro ofsetas"", Karoliniškių bendruomenė, VšĮ ""Lilibra"", Mokslo ir enciklopedijų leidybos centras"
Naujamiesčio seniūnija,17 paslaugų kategorija BVPŽ kodas 55320000-9,121,2013-07-31 sutartis Nr. A64-81(3.10.22-FN4) Lietuvos pagyvenusių žmonių asociacija,"  9,990.00 Lt ","Tarptautinės šventės organizavimas, maisto tiekimas","Lietuvos pagyvenusių žmonių asociacija, VšĮ ""Vilniaus kultūros, pramogų ir sporto rūmai"", Vilniaus vyresniojo amžiaus žmonių asociacija"
Grigiškių seniūnija,17 paslaugų kategorija BVPŽ kodas 55270000-3,122,2013-08-12 sutartis Nr. A64-90(3.10.22-FN4) Renė Lešęinskaja,"  6,960.00 Lt ",Miesto partnerio svečių delegacijos apgyvendinimas,"Renė Leščinskaja, VšĮ ""Vilnvarsa"", UAB ""Transmedos valda"""
Žvėryno seniūnija,17 paslaugų kategorija BVPŽ kodas 55320000-9,123,2013-08-01 sutartis Nr. A64-82(3.10.22-FN4) Asociacijos žvėryno bendruomenės daugiafunkcinis centras,"  2,925.00 Lt ","Tradicinės šventės organizavimas, maisto tiekimas","Žvėryno bendruomenės daugiafunkcinis centras, Vilniaus suaugusiųjų mokymo centras, Vilniaus Žvėryno gimnazija"
Naujamiesčio seniūnija,20 paslaugų kategorija BVPŽ kodas 63500000-4,124,"2013-07-31 sutartis Nr. A64-78(3.10.22-FN4) UAB ""Kelionių laikas""","  3,100.00 Lt ",Edukacinė sveikatingumo išvyka,"UAB ""Kiveda"", UAB ""Estravel Vilnius"", UAB ""Kelionių laikas"", UAB ""Litamicus"""
Karoliniškių seniūnija,26 paslaugų kategorija BVPŽ kodas 92300000-4,125,2013-09-06 sutartis Nr. A64-105(3.10.22-FN4) Karoliniškių bendruomenė,"  5,990.00 Lt ",Kultūrinių renginių vaikams ir suaugusiems organizavimas,"VšĮ ""Diskomas"", VšĮ ""Beepart"", UAB ""Topaz Lt"", Karoliniškių bendruomenė, VšĮ ""Lilibra"". Grigiškių kultūros centras"
Turizmo skyrius,26 paslaugų kategorija BVPŽ kodas 92111250-9,126,"2013-10-29 sutartis Nr. A64-131(3.10.22-EK) VšĮ |Istorinės žinutės""","  20,509.50 Lt ",Turizmo galimybes pristatančių reklaminių video filmų gamybos paslaugos,"VšĮ ""PVZ LT"", VšĮ ""Vizualinių komunikacijų studija"", UAB ""TV Play"", UAB ""Kivis"", VšĮ ""Istorinės žinutės"""
Karoliniškių seniūnija,27 paslaugų kategorija BVPŽ kodas 79952000-2,127,"2013-09-19 sutartis Nr. A64-115(3.10.22-FN4) VšĮ ""Lilibra""","  5,800.00 Lt ",Koncertų techninis aprūpinimas,"VšĮ ""Diskomas"", VšĮ ""Beepart"", UAB ""Topaz Lt"", Karoliniškių bendruomenė, VšĮ ""Lilibra"". VšĮ ""Show production"""
Panerių seniūnija,27 paslaugų kategorija BVPŽ kodas 79952100-3,128,Neįvyko,,Kultūrinių renginių organizavimo paslaugos ir techninis aprūpinimas bei įgarsinimas,
Panerių seniūnija,27 paslaugų kategorija BVPŽ kodas 79952100-3,129,"2013-12-09 sutartis Nr. A64-162(3.10.22-FN4) UAB ""Stebulė""","  5,995.55 Lt ","Panerių seniūnijos Kalėdinės šventės įgarsinimas, apšvietimas, scenos paruošimas","UAB ""Stebulė"", UAB ""Trajana"", UAB ""Genflora"""
Naujamiesčio seniūnija,BVPŽ kodas 35120000-1,130,"2013-09-24 PVM sąskaita faktūra Nr. VSSV 0002002 UAB ""VS sistemos""","  2,999.00 Lt ",Mobilių lauko stebėjimo kamerų pirkimas,"UAB ""Apsaugos komanda"", UAB ""VS sistemos"", UAB ""Lemona"", R. Jonaičio IĮ ""Argus"" saugos tarnyba"
Naujamiesčio seniūnija,BVPŽ kodas 37400000-2,131,"2013-08-09 sutartis Nr. A68-27(3.10.23-FN4) IĮ ""Girus""","  5,090.00 Lt ",Šiaurietiškų vaikščiojimo lazdų pirkimas,"IĮ ""Girus"", UAB ""Baltijos paslaugų brokeris"", UAB ""Rinkaplius"""
Naujamiesčio seniūnija,BVPŽ kodas 38651000-3,132,"2013-08-9 sutartis Nr. A68-28(3.10.23-FN4) UAB ""Varlė""","  2,069.00 Lt ",Veidrodinio fotoaparato įsigijimas,"UAB ""Imk"", UAB ""Varlė"", UAB ""Kilobaitas"", UAB ""Senukų prekybos centras"""
Naujamiesčio seniūnija,BVPŽ kodas 30200000-1,133,"2013-08-12 sutartis Nr. A68-29(3.10.23-FN4) UAB ""Varlė""","  4,398.00 Lt ",Nešiojamo ir planšetinio kompiuterių įsigijimas,"UAB ""Imk"", UAB ""Varlė"", UAB ""Skaitmeninis pasaulis"""
Karoliniškių seniūnija,BVPŽ kodas 18222200-3,134,2013-08-21 sutartis Nr. A68-32(3.10.23-FN4) Elena Nekrošienė,"  6,989.00 Lt ",Koncertinė apranga Karoliniškių senjorų choro nariams,"UAB ""Rožė"", Elena Nekrošienė, UAB ""Verslo mada"", UAB ""Lelija"""
Karoliniškių seniūnija,BVPŽ kodas 39150000-8,135,"2013-10-31 sutartis Nr. A68-52(3.10.23-FN4) UAB ""Baltic stages""","  7,965.83 Lt ",Pakyla choristams,"UAB ""Baltic Stages"", UAB ""Scenos techninis servisas"", UAB ""Geras prekybos partneris"", UAB ""Redžius"", UAB ""TKP Servisas"""
Karoliniškių seniūnija,BVPŽ kodas 45454000-4,136,"2013-11-21 sutartis Nr. A62-100(3.10.21-FN4) UAB ""Sanmark""","  9,992.18 Lt ","Patalpų, nadojamų bendruomenės veiklai, remontas ir pertvarkymas","UAB ""Domasta"", UAB ""Tinkasas"", UAB ""San Mark"""
Žvėryno seniūnija, BVPŽ kodas 45212140-9,137,"2013-07-31 sutartis Nr. A62-34(3.10.21-FN4) UAB ""Stebulė""","  19,155.51 Lt ","Preisitraukimo, sporto kompleksų įrengimas","UAB ""Stebulė"", UAB ""Metalo sprendimai"", UAB ""Mažoji restauracija"""
Panerių seniūnija,BVPŽ kodas 45421100-5,138,2013-09-04 sutartis Nr. A62-53(3.10.21-FN4) Vytauto Kubiliaus IĮ,"  9,999.00 Lt ",Trakų Vokės koplyčios langų vitražų atstatymo bei susijusių elementų montavimo darbai,"UAB ""Rūpintopjėlis"", IĮ Šarūno Juršėno ""Senoji freska"", IĮ Vytauto Kubiliaus"
Panerių seniūnija,BVPŽ kodas 45236290-9,139,"2013-10-15 sutartis Nr. A62-73(3.10.21-FN4) UAB ""Vokės technika""","  11,577.28 Lt ","Naujasodžio (Kazbėjų), Daniliškių, Liudvinavo (Gurelių) ir Mūrinės Vokės gyventojų rekreacinių ir poilsio zonų, sutvarkymo darbai. Trakų Vokės ženklo montavimo darbai","UAB ""Gevalda"", IĮ ""Kasatonas"", UAB ""Vokės technika"""
Žvėryno seniūnija,BVPŽ kodas 45421000-4,140,"2013-07-26 sutartis Nr. A62-32(3.10.21-FN4) UAB ""Stebulė""","  3,799.99 Lt ",Skelbimo lentų pagaminimas,"UAB ""Stebulė"", UAB ""Metalo sprendimai"", UAB ""Jumesa"""
Žvėryno seniūnija,BVPŽ kodas 45233200-1,141,"2013-08-12 sutartis Nr. A62-38(3.10.21-FN4) UAB ""Kitoks požiūris""","  11,925.76 Lt ",Žvėryno gimnazijos stadiono dangos remonto darbai,"UAB ""Stebulė"", UAB ""Trajana"", UAB ""Kitoks požiūris"""
Panerių seniūnija,BVPŽ kodas 45233200-1,142,"2013-10-15 sutartis Nr. A62-72(3.10.21-FN4) UAB ""Vokės technika""","  19,940.80 Lt ","Takų ir kitų kietų dangų, šaligatvių, trinkelių įrengimo, remonto darbai","UAB ""Gevalda"", IĮ ""Kasatonas"", UAB ""Vokės technika"""
Grigiškių seniūnija,BVPŽ kodas 45212221-1,143,"2013-08-19 sutartis Nr. A62-39 (3.10.21-FN4) UAB ""Stebulė""","  13,431.00 Lt ",Paplūdimio tinklinio aikštelės Vokės upės pakrantėje Grigiškėse įrengimas,"UAB ""Stebulė"", UAB ""Refakta"", UAB ""Gedulis"""
Karoliniškių seniūnija,BVPŽ kodas 45236290-9,144,"2013-08-21 sutartis Nr. A62-47(3.10.21-FN4) UAB ""Stebulė""","  19,977.45 Lt ","Viešųjų erdvių (poilsio zonų, skverų, suoliukų) remontas ir atnaujinimas","UAB ""Trajana"", UAB ""Gerbūvio darbai"", UAB ""Stebulė"", UAB ""Jumesta"""
Naujamiesčio seniūnija,BVPŽ kodas 18222200-3,145,"2013-07-31 sutartis Nr. A68-25(3.10.23-FN4) UAB ""A ir J studija""","  9,996.00 Lt ","Bendruomenės meno kolektyvų ""Rudens žiedai"" ir ""Vaivora"" koncertinė apranga","MB RINTEX, K. Kazakevičienės IĮ ""Akrista"", UAB ""A ir J Studija"""
Eismo organizavimo skyrius,BVPŽ kodas 45233290-8,146,Neįvyko,,Vilniaus miesto informacinių nuorodų įrengimas,
Pašilaičių seniūnija,BVPŽ kodas 45236119-7,147,"2013-09-20 sutartis Nr. A62-56(3.10.21-FN4) UAB ""Trajana""","  19,443.49 Lt ",Sporto aikštelių (Pašilaičių g. 13) remonto darbai,"UAB ""Metalo sprendimai"", UAB ""Trajana"", UAB ""Jumesa"""
Pašilaičių seniūnija,BVPŽ kodas 45236119-7,148,"2013-09-20 sutartis Nr. A62-58(3.10.21-FN4) UAB ""Metalo sprendimai""","  16,465.68 Lt ",Sporto aikštelių remonto darbai,"UAB ""Stebulė"", UAB ""Metalo sprendimai"", UAB ""Mažoji restauracija"""
Pilaitės seniūnija,BVPŽ kodas 45236290-9,149,"2013-07-19 sutartis Nr. A62-29(3.10.21-FN4) UAB ""LS ir CO statyba""","  19,977.10 Lt ",Poilsio zonų remonto darbai,"UAB ""LS ir CO statyba"", UAB ""Naujoji Pilaitė"", UAB ""Aiža"""
Pilaitės seniūnija,BVPŽ kodas 45236290-9,150,"2013-09-24 PVM sąskaita faktūra Nr. bp0024 VšĮ ""Beepart kūrybinės dirbtuvės""","  3,000.00 Lt ",Poilsio zonų remonto darbai,"UAB ""Naujoji Pilaitė"", VšĮ ""Beepart kūrybinės dirbtuvės"", UAB ""Ekspobalta"""
Naujamiesčio seniūnija,BVPŽ kodas 45212140-9,151,"2013-08-19 sutartis Nr. A62-40(3.10.21-FN4) Lietuvos ir Vokietijos UAB ""Ežerėlio vaivorykštė""","  4,152.00 Lt ",Prisitraukimo komplekso įrengimas,"UAB ""Stebulė"", Lietuvos ir Vokietijos UAB ""Ežerėlio vaivorykštė"", UAB ""Kitoks požiūris"""
Pilaitės seniūnija,BVPŽ kodas 45236119-7,152,"2013-07-19 sutartis Nr. A62-28(3.10.21-FN4) UAB ""Aiža""","  19,500.00 Lt ",Sporto aikštelių remonto darbai,"UAB ""LS ir CO statyba"", UAB ""ADMI"", UAB ""Aiža"""
Šnipiškių seniūnija,BVPŽ kodas 45453100-8,153,"2013-08-20 sutartis Nr. A62-46(3.10.21-FN4) UAB ""Euro RG""","  19,891.66 Lt ",Šnipiškių bendruomenės patalpų remontas,"UAB ""Euro RG"", UAB ""Lydera"", MB ""Kerpyčius"", UAB ""Atira"""
Eismo organizavimo skyrius,BVPŽ kodas 45316212-4,154,Neįvyko,,Molėtų pl. Ir Skersinės g. šviesoforinio posto įrengimas,
Pašilaičių seniūnija,BVPŽ kodas 34150000-3,155,"2013.09.20 sutartis Nr. A62-57(3.10.21-FN4) UAB ""Stebulė""","  9,882.07 Lt ",Lauko treniruoklių pastatymas ir įrengimas,"UAB ""Stebulė"", UAB ""Metalo sprendimai"", UAB ""Mažoji restauracija"""
Pašilaičių seniūnija,BVPŽ kodas 30200000-1,156,"2013-07-24 PVM s1skaita fakt8ra Nr. BC00000279 UAB ""Balt Core""","  5,142.00 Lt ",Kompiuteris su programine įranga ir daugiafunkcinis spalvotas spausdintuvas su skaneriu,"UAB ""Balt Core"", UAB ""Skytech.lt"", UAB ""Baitukas"" ir partneriai"
Pašilaičių seniūnija,BVPŽ kodas 37310000-4,157,2013-07-25 PVM sąskaita faktūra Nr. ASI20131514,"  9,760.00 Lt ",Muzikinių instrumentų ir priemonių įsigijimas,"UAB ""Tamsta"", UAB ""Scenos servisas"", D. Krasnoumovos įmonė, IĮ ""Katarsis"""
Pašilaičių seniūnija,BVPŽ kodas 38651000-3,158,"2013-07-24 PVM sąskaita faktūra Nr. BC00000280 UAB ""Balt Core""","  2,357.00 Lt ",Veidrodinis fotoaparatas,"UAB ""Balt Core"", UAB ""Skytech.lt"", UAB ""Baitukas"" ir partneriai"
Lazdynų seniūnija,BVPŽ kodas 32321200-1,159,"2013-09-24 PVM sąskaita faktūra Nr. ASI 20131999 UAB ""Tamsta""","  7,499.50 Lt ",Garso ir vaizdo aparatūra,"UAB ""Leonas ir ko"", UAB ""Stokeris"", UAB ""Tamsta"""
Rasų seniūnija,BVPŽ kodas 34150000-3,160,"2013-11-26 sutartis Nr. A68-58(3.10.23-FN) UAB ""Stebulė""","  9,952.25 Lt ",Lauko treniruoklių įrengimas,"UAB ""Stebulė""; UAB ""Metalo sprendimai""; UAB ""Mažoji restauracija"""
Šnipiškių seniūnija,BVPŽ kodas 39130000-2,161,"2013-11-19 PVM sąskaita faktūra Nr. NARB004269 UAB ""Narbutas""","  3,994.46 Lt ",Baldų įsigijimas,"UAB ""Narbutas"", UAB ""Flanco"", UAB ""DV projektai"""
Socialinių išmokų skyrius,7 paslaugų kategorija BVPŽ kodas 50312000-5,162,Neįvyko,,Kompiuterių įrangos priežiūra ir remontas,
Naujamiesčio seniūnija,17 paslaugų kategorija BVPŽ kodas 55243000-5,163,2013-08-02 sutartis Nr. A64-86(3.10.22-FN4) Lietuvos pagyvenusių žmonių asociacija,"  4,855.00 Lt ",Sunkiai auklėjamų Naujamiesčio bendruomenės vaikų futbolo varžybos,"Lietuvos pagyvenusių žmonių asociacija, Vilniaus vyresniojo amžiaus žmonių asociacija, Krašto apsaugos sistemos kūrėjų asociacija"
Naujamiesčio seniūnija,20 paslaugų kategorija BVPŽ kodas 63500000-4,164,"2013-07-31 sutartis Nr. A64-79(3.10.22-FN4) UAB ""Kelionių laikas""","  2,850.00 Lt ",Naujamiesčio seniūnijos bendruomenės koncertinė pažintinė kelionė,"UAB ""Kiveda"", UAB ""Estravel Vilnius"", UAB ""Kelionių laikas"", UAB ""Litamicus"""
Šnipiškių seniūnija,20 paslaugų kategorija BVPŽ kodas 63500000-4,165,"2013-07-25 sutartis Nr. A64-73(3.10.22-FN4) UAB ""Keliautojų klubas""","  6,980.00 Lt ",Kelionė socialiai pažeidžiamiems žmonėms,"UAB ""Keliautojų klubas"", UAB ""Kiveda"", UAB ""Banelituras"""
Naujamiesčio seniūnija,25 paslaugų kategorija BVPŽ kodas 85320000-8,166,2013-08-05 sutartis Nr. A64-87(3.10.22-FN4) Lietuvos pagyvenusių žmonių asociacija,"  8,000.00 Lt ",Pagalba vienišiems ir į krizinę situaciją patekusiems bendruomenės nariams,"Lietuvos našlaičių brolija, Lietuvos pagyvenusių žmonių asociacija, Visuomeninė organizacija ""Branda"""
Naujamiesčio seniūnija,25 paslaugų kategorija BVPŽ kodas 85142100-7,167,"2013-08-19 sutartis Nr. A64-92(3.10.22-FN4) Laisvosios nardymo ir povandeninės žūklės asociacija ""Vienu įkvėpimu""","  8,496.00 Lt ",Bendruomenės senyvo amžiaus žmonių gimnastikos terapija,"UAB """"Diver.lt"", Laisvosios nardymo ir povandeninės žūklės asociacija ""Vienu įkvėpimu"""
Naujamiesčio seniūnija,25 paslaugų kategorija BVPŽ kodas 85320000-8,168,2013-08-02 sutartis Nr. A64-85(3.10.22-FN4) Laisvosios nardymo ir povandeninės žūklės asociacija,"  8,500.00 Lt ",Socialinio užimtumo paslaugos plaukimo treniruotės,
Naujamiesčio seniūnija,25 paslaugų kategorija BVPŽ kodas 85323000-9,169,"2013-08-30 sutartis Nr. A64-101(3.10.22-FN4) Mažoji bendrija ""Eglsta""","  7,840.00 Lt ",Bendruomenės sveikatos priežiūros paslaugos,"Lietuvos raudonojo kryžiaus draugijos Vilniaus skyrius, Mažoji bendrija ""Eglsta"", Vilniaus miesto Vyresniojo amžiausžmonių asociacija, Lietuvos sveikuolių sąjunga"
Pašilaičių seniūnija,25 paslaugų kategorija BVPŽ kodas 85320000-8,170,"2013-09-19 sutartis Nr. A64-112(3.10.22-FN4) UAB ""Vėjų fėja""","  7,000.00 Lt ",Kūrybinių socialinių užsiėmimų ir kitų socialinių paslaugų senjorams ir neįgaliųjų klubo nariams organizavimas,"UAB ""Vėjų fėja"", UAB ""Decotex"", UAB ""Medusa Concert"""
